,Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,Document Date,Quantity in L,SH_Customer No,state
1105,41343,Toowoomba Regional Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2013-06,2.62,TO,Q206,52772,Clifton Water Pump Station,2013-05,2000.0,41343,qld
1125,41343,Toowoomba Regional Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2013-04,2.62,TO,Q206,52772,Clifton Water Pump Station,2013-04,2000.0,41343,qld
1139,41343,Toowoomba Regional Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2013-03,2.62,TO,V305,52772,Clifton Water Pump Station,2013-03,2000.0,41343,qld
1160,41343,Toowoomba Regional Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2013-01,2.0,BOX,V305,18814,Toowoomba RC  Clifton Depot,2013-01,2000.0,41343,qld
1166,41343,Toowoomba Regional Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2012-12,1.0,BOX,V305,18814,Toowoomba RC  Clifton Depot,2012-12,1000.0,41343,qld
1168,41343,Toowoomba Regional Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2012-12,1.0,BOX,V305,18814,Toowoomba RC  Clifton Depot,2012-12,1000.0,41343,qld
1248,38432,Integrated Chemical & Environmental,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2012-05,1.0,BOX,V127,53333,Omnia Pty Ltd,2012-05,1000.0,38432,qld
1251,38432,Integrated Chemical & Environmental,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2012-04,1.0,BOX,V127,53333,Omnia Pty Ltd,2012-04,1000.0,38432,qld
1666,41343,Toowoomba Regional Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),,2.0,BOX,Q336,30181,Pittsworth STP,2021-04,2000.0,41343,qld
1686,41343,Toowoomba Regional Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),,3.0,BOX,Q336,30181,Pittsworth STP,2021-04,3000.0,41343,qld
1986,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2021-04,8.6,TO,Q339,47251,Rainbow Beach,2021-03,6564.885496183206,41458,qld
1987,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2021-04,6.2,TO,Q339,47252,Tin Can Bay,2021-03,4732.824427480916,41458,qld
1988,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2021-04,2.2,TO,Q339,47245,Cooloola Cove STP,2021-03,1679.3893129770993,41458,qld
2012,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2021-03,25.0,TO,Q339,10422,GYMPIE WTP Jones Hill,2021-03,19083.969465648854,41458,qld
2239,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2021-02,25.0,TO,Q339,10422,GYMPIE WTP Jones Hill,2021-02,19083.969465648854,41458,qld
2353,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2021-02,0.65,TO,Q339,47245,Cooloola Cove STP,2021-02,496.1832061068702,41458,qld
2359,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2021-02,9.1,TO,Q339,47251,Rainbow Beach,2021-02,6946.564885496183,41458,qld
2360,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2021-02,7.8,TO,Q339,47252,Tin Can Bay,2021-02,5954.198473282442,41458,qld
2491,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2021-01,25.0,TO,Q339,10422,GYMPIE WTP Jones Hill,2021-01,19083.969465648854,41458,qld
2705,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-12,20.0,TO,Q339,10422,GYMPIE WTP Jones Hill,2020-12,15267.175572519083,41458,qld
2737,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-12,11.2,TO,Q339,47251,Rainbow Beach,2020-12,8549.618320610687,41458,qld
2738,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-12,6.75,TO,Q339,47252,Tin Can Bay,2020-12,5152.67175572519,41458,qld
2739,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-12,4.2,TO,Q339,47245,Cooloola Cove STP,2020-12,3206.1068702290077,41458,qld
2856,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-12,25.0,TO,Q339,10422,GYMPIE WTP Jones Hill,2020-12,19083.969465648854,41458,qld
3032,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-11,25.0,TO,Q339,10422,GYMPIE WTP Jones Hill,2020-11,19083.969465648854,41458,qld
3173,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-10,9.5,TO,Q339,47252,Tin Can Bay,2020-10,7251.908396946565,41458,qld
3174,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-10,12.3,TO,Q339,47251,Rainbow Beach,2020-10,9389.312977099236,41458,qld
3175,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-10,3.2,TO,Q339,47245,Cooloola Cove STP,2020-10,2442.7480916030536,41458,qld
3241,41368,Western Downs Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-10,23.5,TO,Q339,38370,Chinchilla Shire WTP,2020-10,17938.93129770992,41368,qld
3289,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-10,25.0,TO,Q339,10422,GYMPIE WTP Jones Hill,2020-09,19083.969465648854,41458,qld
3358,41368,Western Downs Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-09,23.5,TO,Q339,38370,Chinchilla Shire WTP,2020-09,17938.93129770992,41368,qld
3497,41368,Western Downs Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-08,23.5,TO,Q339,38370,Chinchilla Shire WTP,2020-08,17938.93129770992,41368,qld
3506,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-08,12.0,TO,Q339,47251,Rainbow Beach,2020-08,9160.30534351145,41458,qld
3507,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-08,9.0,TO,Q339,47252,Tin Can Bay,2020-08,6870.229007633588,41458,qld
3508,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-08,4.0,TO,Q339,47245,Cooloola Cove STP,2020-08,3053.4351145038167,41458,qld
3611,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-08,25.0,TO,Q339,10422,GYMPIE WTP Jones Hill,2020-07,19083.969465648854,41458,qld
3718,41368,Western Downs Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-07,23.5,TO,Q339,38370,Chinchilla Shire WTP,2020-07,17938.93129770992,41368,qld
3801,41368,Western Downs Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-06,23.5,TO,Q339,38370,Chinchilla Shire WTP,2020-06,17938.93129770992,41368,qld
3819,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-06,9.75,TO,Q339,47251,Rainbow Beach,2020-06,7442.748091603054,41458,qld
3820,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-06,10.0,TO,Q339,47252,Tin Can Bay,2020-06,7633.587786259542,41458,qld
