SH_Customer No,SH_Customer City,SH_Customer Post Code
0000005197,GRAFTON,2460
0000005229,CASINO,2470
0000005237,SOUTH TWEED HEADS,2484
0000005252,NORTH SYDNEY,2059
0000005293,Moree,2400
0000005301,GUYRA,2365
0000005361,BOTANY,2019
0000005374,WOLLOONGONG,2500
0000005434,South Lismore,2480
0000005448,INVERELL,2360
0000005449,GOONELLABAH,2480
0000005462,MOAMA,2731
0000005468,Pymble,2073
0000005480,TENTERFIELD,2372
0000005518,Seven Hills,2147
0000005551,Billinudgel,2483
0000005553,GRAFTON,2460
0000005588,GRAFTON,2461
0000005606,KYOGLE,2474
0000005607,KYOGLE,2474
0000005646,BEACONSFIELD,2014
0000005656,PARRAMATTA,2150
0000005679,GLEN INNES,2370
0000005706,NEWRYBAR,2479
0000005729,ULMARRA,2462
0000005730,ULMARRA,2462
0000005733,CHARLESTOWN,2290
0000005747,WETHERILL PARK,2164
0000005749,RIVERSTONE,2765
0000005751,BOTANY,2019
0000005752,ALEXANDRIA,2014
0000005753,BOMADERRY,2541
0000005754,YENNORA,2161
0000005755,CHIPPING NORTON,2170
0000005756,ZETLAND,2017
0000005757,Potts Point,2011
0000005758,KIRRAWEE,2232
0000005759,KURNELL,2231
0000005760,QUEANBEYAN,2620
0000005761,BOMADERRY,2541
0000005762,KIRRAWEE,2232
0000005763,MARRICKVILLE,2204
0000005764,ROCKDALE,2216
0000005765,YANCO,2703
0000005766,ARNDELL PARK,2136
0000005767,AUBURN,2144
0000005768,CONDELL PARK,2200
0000005769,PEAKHURST,2210
0000005770,ALEXANDRIA,2015
0000005771,ALEXANDRIA,2015
0000005772,SMITHFIELD,2164
0000005773,PEAKHURST,2210
0000005774,SYDNEY,2000
0000005776,KURNELL,2231
0000005777,ALEXANDRIA,2015
0000005778,KOGARAH,2217
0000005781,BLAYNEY,2799
0000005782,YAGOONA,2199
0000005783,REVESBY,2212
0000005784,EDGECLIFF,2027
0000005786,FOREST HILL,2651
0000005787,SMITHFIELD,2164
0000005788,ALBATROSS,2541
0000005789,TAREN POINT,2229
0000005790,LAKEMBA,2195
0000005791,LITHGOW,2790
0000005792,GARDEN ISLAND,2000
0000005794,BOTANY,2019
