SH_Customer No,SH_Customer City,SH_Customer Post Code
0000032743,CANNINGVALE   WA,6155
0000032931,Millmerrin,4357
0000032941,NARANGBA,4504
0000032942,NARANGBA,4504
0000033680,ABBOTSFORD  VIC,3067
0000033710,Villawood  NSW,2163
0000033718,Stanmore,2050
0000033722,"Melbourne, AUSTRALIA",3001
0000033730,WETHERILL PARK,2164
0000033732,CAMPBELLFIELD,3061
0000033734,.,""
0000033934,MERNDA,3754
0000033943,CLAYTON,3168
0000033951,Kilsyth,3137
0000033952,HUNTINGDALE,3166
0000033955,CAMPBELLFIELD,3061
0000033959,BORONIA,3155
0000034014,Green Acre,2190
0000034110,Sunshine West,3020
0000034185,CAMPBELLFIELD,3061
0000034317,Hurstville   NSW  AUSTRALIA,1481
0000034333,DEER PARK,3023
0000034348,"",""
0000034371,South Australia,5042
0000034432,MARLESTON,5033
0000034433,LAVERTON NORTH,3026
0000034489,BRAYBROOK,3019
0000034503,COBRAM,3644
0000034616,ROCKLEA,4106
0000034699,Cambellfield,3061
0000034726,INGLEBURN,2565
0000035125,PERTH   WA,6000
0000035214,Mt Waverley,3149
0000035230,"",""
0000035280,"",""
0000035361,LAVERTON NORTH,3026
0000035368,Londsdale,5160
0000035389,"",""
0000035566,HOMEBUSH,2140
0000035602,Burnie TASMANIA,7320
0000036064,TATURA,3616
0000036068,HOPPERS CROSSING,3029
0000036086,COLAC,3250
0000036087,GUNBOWER,3566
0000036143,"",""
0000036482,ALTONA,3018
0000036547,"Dandenong, VICTORIA",3175
0000036617,WAGGA WAGGA,2650
0000036624,"Kewdale, West Australia",6105
0000036648,East Melbourne,3002
0000036649,MELBOURNE,3000
0000036650,East Melbourne,3002
0000036651,MELBOURNE,3000
0000036652,East Melbourne,3002
0000036721,MELBOURNE,3000
0000036742,TUNCURRY,2428
0000036785,Dandenong,3175
0000036823,BAYSWATER NORTH.   VIC,3153
0000036832,PORT KEMBLA NSW 2505,""
0000037250,SUMNER PARK,4074
0000037261,"Alexandria, NEW SOUTH WALES",2015
0000037307,ROCKLEA   QLD,4106
