SH_Customer No,SH_Customer City,SH_Customer Post Code
0000009797,EAST FREMANTLE,6158
0000009798,SWANBOURNE,6010
0000009799,Canning Vale,6155
0000009800,EAST PERTH,6004
0000009801,NEWBURN,6104
0000009802,Welshpool,6106
0000009803,NORTH FREMANTLE,6159
0000009804,Birra Lake,6163
0000009805,OSBORNE PARK,6017
0000009806,BAYSWATER,6053
0000009807,BELMONT,6104
0000009808,Canning Vale,6155
0000009810,PERTH,6000
0000009811,KEWDALE,6105
0000009812,Welshpool,6106
0000009813,KALGOORLIE,6430
0000009814,KALGOORLIE,6430
0000009815,Welshpool,6106
0000009816,Canning Vale,6155
0000009817,Canning Vale,6155
0000009818,WEST PERTH,6005
0000009819,Welshpool,6053
0000009820,KWINANA,6167
0000009821,KWINANA,6167
0000009822,KWINANA,6167
0000009823,KWINANA,6167
0000009825,Welshpool,6106
0000009826,Broome,6725
0000009827,SOUTH GUILDFORD,6055
0000009828,SOUTH GUILDFORD,6055
0000009829,BUNBURY,6230
0000009830,WELSHPOOL   WA,6106
0000009831,NORTH FREMANTLE,6159
0000009834,MALAGA,6153
0000009835,Canning Vale,6155
0000009836,Canning Vale,6155
0000009837,Port Hedland,6721
0000009838,Port Hedland,6721
0000009839,Welshpool,6106
0000009840,OSBORNE PARK,6017
0000009841,Welshpool,6105
0000009843,BINDOON,6502
0000009844,Welshpool,6105
0000009847,NORSEMAN,6443
0000009848,BALCATTA,6105
0000009849,Claremont,6010
0000009850,Claremont,6010
0000009851,BUNBURY,6230
0000009852,BUNBURY,6162
0000009853,Welshpool,6105
0000009854,KALGOORLIE,6430
0000009855,KEWDALE,6105
0000009856,KEWDALE,6105
0000009857,KEWDALE,6105
0000009858,South Boulder,6432
0000009859,KEWDALE,6105
0000009860,DAMPIER,6713
0000009861,SOUTH GUILDFORD,6055
0000009862,Claremont,6010
0000009863,Claremont,6010
0000009864,WAROONA,6215
0000009865,Welshpool,6106
0000009866,Canning Vale,6155
0000009867,KEWDALE,6105
0000009868,OSBORNE PARK,6017
0000009869,PERTH,6000
0000009870,Coolgardie,6429
0000009871,SOUTH GUILDFORD,6055
0000009872,Coolgardie,6429
0000009873,COOROW,6515
0000009874,Midvale,6056
0000009875,QUEENS PARK,6107
0000009876,KEWDALE,6105
0000009877,Welshpool,6106
0000009878,Welshpool,6106
0000009879,CUNDERDIN,6407
0000009880,KEWDALE,6105
0000009881,PERTH,6850
0000009882,Sth Guildford,6055
0000009883,DAMPIER,6713
0000009884,PINJARRA,6208
0000009885,PINJARRA,6109
0000009886,Welshpool,6106
0000009887,PINJARRA,6109
0000009888,PINJARRA,6109
0000009889,CANNINGTON,6107
0000009890,MANJIMUP,6258
0000009891,MANJIMUP,6258
0000009892,YANCHEP,6035
0000009893,Welshpool,6106
0000009894,O'CONNOR,6163
0000009895,Jandakot,6164
0000009896,Welshpool,6106
0000009897,LEEMING,6149
0000009898,MELVILLE,6156
0000009899,ESPERANCE,6450
0000009900,Welshpool,6106
0000009902,LEONORA,6438
0000009903,LEONORA,6438
0000009904,LEINSTER,6437
0000009905,Canning Vale,6155
0000009906,KWINANA,6168
0000009907,MALAGA,6062
0000009908,Australind,6230
0000009909,Australind,6163
0000009910,NORTH FREMANTLE,6159
0000009911,GREENBUSHES MINE,6872
0000009912,NORTH FREMANTLE,6159
0000009913,GREENBUSHES,6254
0000009915,Sth Guildford,6055
0000009916,SOUTH HEDLAND,6722
0000009917,SOUTH GUILDFORD,6055
0000009918,Coolgardie,6429
0000009920,BUNBURY,6230
0000009921,KALGOORLIE,6440
0000009922,KALGOORLIE,6440
0000009923,KALGOORLIE,6430
0000009924,MALAGA,6062
0000009925,KEWDALE,6105
0000009926,Welshpool,6106
0000009927,CARNARVON,6701
0000009928,NORSEMAN,6443
0000009929,SOUTH GUILDFORD,6055
0000009930,EXMOUTH,6707
0000009931,WEST PERTH,6872
0000009932,SOUTH GUILDFORD,6055
0000009933,KEWDALE,6105
0000009935,KWINANA,6167
0000009936,Jandakot,6164
0000009937,KWINANA,6167
0000009938,KWINANA,6167
0000009939,OSBORNE PARK,6017
0000009940,OSBORNE PARK,6017
0000009941,BASSENDEAN,6054
0000009942,HAMILTON HILL,6163
0000009943,O'CONNOR,6163
0000009944,O'CONNOR,6163
0000009945,MIDLAND,6056
0000009946,KEWDALE,6105
0000009948,KALGOORLIE,6430
0000009949,KALGOORLIE,6430
0000009950,KALGOORLIE,6430
0000009951,Welshpool,6106
0000009952,KEWDALE,6105
0000009953,BUNBURY,6230
0000009954,NORTH FREMANTLE,6159
0000009955,Kojonup,6395
0000009956,PICKERING BROOK,6076
0000009957,Welshpool,6106
0000009958,LAVERTON,6440
0000009959,MADDINGTON,6109
0000009960,Welshpool,6106
0000009961,SOUTH GUILDFORD,6055
0000009962,MANJIMUP,6258
0000009963,Welshpool,6105
0000009964,Welshpool,6106
0000009966,KWINANA,6167
0000009967,Welshpool,6106
0000009968,BUNBURY,6230
0000009969,MERREDIN,6415
0000009970,Claremont,6010
0000009971,Katanning,6317
0000009972,Katanning,6317
0000009973,WOOROOLOO,6558
0000009974,Welshpool,6106
0000009975,O'CONNOR,6163
0000009976,KEWDALE,6105
0000009977,PARKFIELD,6160
0000009978,WEST PERTH,6005
0000009979,Welshpool,6105
0000009980,WEST PERTH,6005
0000009981,Welshpool,6106
0000009982,LEONORA,6438
0000009983,LEONORA,6438
0000009984,LEONORA,6438
0000009985,MT MAGNET,6639
0000009986,MUKINBUDIN,6479
0000009987,MUKINBUDIN,6479
0000009988,Midvale,6056
0000009989,KEWDALE,6105
0000009990,Geraldton,6530
0000009991,MALAGA,6160
0000009993,KWINANA,6167
0000009994,KEWDALE,6105
0000009996,O'CONNOR,6160
0000009997,NAREMBEEN,6369
0000009998,KEWDALE,6105
0000009999,Welshpool,6106
0000010000,CLOVERDALE,6105
0000010001,Welshpool,6106
0000010002,KEWDALE   WA,6105
0000010003,CHURCHLANDS,6018
0000010004,CARNARVON,6701
0000010005,BASSENDEAN,6054
0000010006,KEWDALE,6105
0000010007,KWINANA,6167
0000010008,VARLEY,6355
0000010009,SOUTH GUILDFORD,6055
0000010010,SPEARWOOD,6163
0000010011,KALGOORLIE,6430
0000010012,KALGOORLIE,6430
0000010013,KALGOORLIE,6430
0000010014,COMO,6152
0000010015,PERENJORI,6620
0000010016,KEWDALE,6105
0000010018,LAVERTON,6440
0000010019,Meekatharra,6642
0000010020,Meekatharra,6642
0000010021,Meekatharra,6642
0000010022,Port Hedland,6053
0000010023,SOUTHERN CROSS,6426
0000010025,Welshpool,6106
0000010026,KEWDALE,6105
0000010027,PERTH,6000
0000010028,KEWDALE,6716
0000010029,POINT SAMPSON,6720
0000010030,KEWDALE,6716
0000010031,Welshpool,6106
0000010032,KARRATHA,6714
0000010033,KARRATHA,6714
0000010034,KARRATHA,6714
0000010035,KARRATHA,6714
0000010036,KARRATHA,6714
0000010037,KARRATHA,6714
0000010038,Bibra Lake,6163
0000010039,Welshpool,6106
0000010040,FREMANTLE,6160
0000010041,THE VINES   WA,6069
0000010042,BALCATTA,6021
0000010043,BALCATTA,6024
0000010044,WILLETTON,6155
0000010045,BALCATTA,6021
0000010046,KEWDALE,6105
0000010047,NORTH FREMANTLE,6159
0000010048,WEST PERTH,6872
0000010049,LAVERTON,6440
0000010050,LEONORA,6435
0000010051,SOUTHERN CROSS,6426
0000010052,SOUTHERN CROSS,6426
0000010053,SOUTHERN CROSS,6426
0000010054,SOUTHERN CROSS,6426
0000010055,Welshpool,6106
0000010056,Wangara,6065
0000010057,KEWDALE,6105
0000010058,OSBORNE PARK,6017
0000010059,Midvale,6056
0000010061,KWINANA,6167
0000010062,ARMADALE,6992
0000010063,KELMSCOTT,6111
0000010064,VICTORIA PARK,6100
0000010065,BOYONUP,6230
0000010066,WELSPHOOL,6106
0000010068,PERTH,6001
0000010069,MYAREE,6154
0000010070,Welshpool,6106
0000010071,LEEDERVILLE,6007
0000010072,BRIDGETOWN,6255
0000010073,PINJARRA,6208
0000010074,MUNDARING,6073
0000010075,SHENTON PARK,6008
0000010076,ALBANY,6331
0000010077,Jandakot,6164
0000010078,DENMARK,6333
0000010079,ALBANY,6330
0000010080,BUNBURY,6231
0000010081,DONNYBROOK,6230
0000010082,Australind,6230
0000010083,NANNUP,6275
0000010084,PEMBERTON,6260
0000010085,QUINNINUP,6260
0000010086,YUNDERUP,6210
0000010087,Northam,6401
0000010088,Jandakot,6164
0000010089,SPEARWOOD,6163
0000010090,BAYSWATER,6053
0000010091,KWINANA,6167
0000010092,BASSENDEAN,6054
0000010093,Welshpool,6106
0000010094,Welshpool,6105
0000010095,KEWDALE,6105
0000010096,South Perth,6151
0000010097,SOUTH GUILDFORD,6055
0000010098,Welshpool,6106
0000010099,PERTH,6000
0000010100,COLLIE,6225
0000010101,Naval Base,6165
0000010102,WEST PERTH,6005
0000010103,SOUTH GUILDFORD,6055
0000010104,KEWDALE,6105
0000010105,Welshpool,6106
0000010106,Westonia,6423
0000010107,MALAGA,6062
0000010108,KEWDALE,6105
0000010109,WEST PERTH,6005
0000010110,KWINANA,6167
0000010111,KALGOORLIE,6430
