,Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,Document Date,Quantity in L,SH_Customer No,state
49406,56283,Aquapac Pty Ltd,PAC23-1330NR,PAC 23 SOLUTION - 1330KG IBC NR,2017-10,2.66,TO,Q336,62144,Aquapac / Carole Park QLD,2017-10,1985.0746268656717,56283,nsw
49407,56283,Aquapac Pty Ltd,PAC23-1330NR,PAC 23 SOLUTION - 1330KG IBC NR,2017-10,21.28,TO,Q336,62144,Aquapac / Carole Park QLD,2017-10,15880.597014925374,56283,nsw
49408,56283,Aquapac Pty Ltd,PAC23-1330NR,PAC 23 SOLUTION - 1330KG IBC NR,2017-10,2.66,TO,Q336,62144,Aquapac / Carole Park QLD,2017-10,1985.0746268656717,56283,nsw
49409,8913,Nowra Chemical Manufacturers Pty Lt,PAC23-1330NR,PAC 23 SOLUTION - 1330KG IBC NR,2017-10,1.33,TO,N118,61958,Southern Cross Transport Terminal,2017-09,992.5373134328358,8913,nsw
49416,8913,Nowra Chemical Manufacturers Pty Lt,PAC23-1330NR,PAC 23 SOLUTION - 1330KG IBC NR,2017-09,1.33,TO,N118,61958,Southern Cross Transport Terminal,2017-09,992.5373134328358,8913,nsw
49420,8913,Nowra Chemical Manufacturers Pty Lt,PAC23-1330NR,PAC 23 SOLUTION - 1330KG IBC NR,2017-09,1.33,TO,N118,61958,Southern Cross Transport Terminal,2017-08,992.5373134328358,8913,nsw
49424,8913,Nowra Chemical Manufacturers Pty Lt,PAC23-1330NR,PAC 23 SOLUTION - 1330KG IBC NR,2017-08,1.0,BOX,N118,61958,Southern Cross Transport Terminal,2017-08,1000.0,8913,nsw
49428,34491,Downer Utilities Australia Pty Ltd,PAC23-1330NR,PAC 23 SOLUTION - 1330KG IBC NR,2017-08,1.0,BOX,V305,53819,"MCG RWTP, Gate 3",2017-07,1000.0,34491,nsw
49439,34491,Downer Utilities Australia Pty Ltd,PAC23-1330NR,PAC 23 SOLUTION - 1330KG IBC NR,2017-06,1.0,BOX,V305,53819,"MCG RWTP, Gate 3",2017-06,1000.0,34491,nsw
49442,8913,Nowra Chemical Manufacturers Pty Lt,PAC23-1330NR,PAC 23 SOLUTION - 1330KG IBC NR,2017-06,1.33,TO,N118,61958,Southern Cross Transport Terminal,2017-05,992.5373134328358,8913,nsw
