,Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,Quantity in L,state of Sold-To Party
81419,39266,City of Swan,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,1500.0,L,W205,39285,Altone Park Leisure,1500.0,wa
81420,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,1700.0,L,W205,39388,YOKINE WTP-W Corp,1700.0,wa
81421,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,2000.0,L,W205,39378,WANNEROO 7 BORE-W Corp,2000.0,wa
81422,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,1100.0,L,W205,39354,MIRRABOOKA (Hypo)-W Corp,1100.0,wa
81423,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,2400.0,L,W205,39345,L5 PUMP STN-W Corp,2400.0,wa
81424,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,10000.0,L,W205,10075,SUBIACO-W Corp,10000.0,wa
81426,39251,Pooltime Pool Products,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,7500.0,L,W205,39251,Pooltime Pool Products,7500.0,wa
81428,39227,Australian Gold Reagents Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,1000.0,L,W205,39820,SCP#2 Aust Gold Reagents,1000.0,wa
81429,39227,Australian Gold Reagents Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,1000.0,L,W205,39819,SCP#1 Aust Gold Reagents,1000.0,wa
81430,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,10500.0,L,W205,39336,GWELUP-W Corp,10500.0,wa
81431,10091,CSBP Wesfarmers Limited,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,2000.0,L,W205,39571,CSBP Ammonia Cooling Tower,2000.0,wa
81432,10091,CSBP Wesfarmers Limited,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,3000.0,L,W205,39303,CSBP #1 AN PLANT,3000.0,wa
81434,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,2000.0,L,W205,41624,HAMILTON RES-W Corp,2000.0,wa
81435,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,2000.0,L,W205,39388,YOKINE WTP-W Corp,2000.0,wa
81436,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,2300.0,L,W205,39378,WANNEROO 7 BORE-W Corp,2300.0,wa
81437,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,1600.0,L,W205,39354,MIRRABOOKA (Hypo)-W Corp,1600.0,wa
81438,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,2000.0,L,W205,39326,CENTRAL PUMP STN (L6)-W Corp,2000.0,wa
81439,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,3600.0,L,W205,39345,L5 PUMP STN-W Corp,3600.0,wa
81440,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,500.0,L,W205,39321,BUCKLAND HILL-W Corp,500.0,wa
81441,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,1000.0,L,W205,39315,BALCATTA WTP-W Corp,1000.0,wa
81447,10091,CSBP Wesfarmers Limited,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,2000.0,L,W205,39571,CSBP Ammonia Cooling Tower,2000.0,wa
81448,10091,CSBP Wesfarmers Limited,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,3000.0,L,W205,39303,CSBP #1 AN PLANT,3000.0,wa
81449,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,10500.0,L,W205,39336,GWELUP-W Corp,10500.0,wa
81450,39227,Australian Gold Reagents Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,1000.0,L,W205,39820,SCP#2 Aust Gold Reagents,1000.0,wa
81451,39227,Australian Gold Reagents Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,1000.0,L,W205,39819,SCP#1 Aust Gold Reagents,1000.0,wa
81452,39271,St Marys Girls School,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,1000.0,L,W205,39271,St Marys Girls School,1000.0,wa
81453,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,10000.0,L,W205,30847,KWINANA (KWRP)-W Corp,10000.0,wa
81455,39221,A Plus Chemicals & Fragrances,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,10000.0,L,W205,39221,A Plus Chemicals & Fragrances,10000.0,wa
81457,47081,Austral Pool Solutions Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,10500.0,L,W205,40881,Austral Pool Solutions - Malaga,10500.0,wa
81460,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,10500.0,L,W205,39336,GWELUP-W Corp,10500.0,wa
81463,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,10000.0,L,W205,10075,SUBIACO-W Corp,10000.0,wa
81467,9776,Agent Sales & Services Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,10500.0,L,W205,50623,Agent Sales - Bassendean,10500.0,wa
81468,39248,North Lake Senior Campus,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,2000.0,L,W205,39248,North Lake Senior Campus,2000.0,wa
81469,39227,Australian Gold Reagents Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,1000.0,L,W205,39819,SCP#1 Aust Gold Reagents,1000.0,wa
81470,39227,Australian Gold Reagents Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,1000.0,L,W205,39820,SCP#2 Aust Gold Reagents,1000.0,wa
81471,10091,CSBP Wesfarmers Limited,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,2000.0,L,W205,39571,CSBP Ammonia Cooling Tower,2000.0,wa
81472,10091,CSBP Wesfarmers Limited,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,2000.0,L,W205,39303,CSBP #1 AN PLANT,2000.0,wa
81473,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,10500.0,L,W205,39336,GWELUP-W Corp,10500.0,wa
81474,47081,Austral Pool Solutions Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,10500.0,L,W205,40881,Austral Pool Solutions - Malaga,10500.0,wa
81475,9776,Agent Sales & Services Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,10500.0,L,W205,50623,Agent Sales - Bassendean,10500.0,wa
81476,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,10500.0,L,W205,10082,AUSTRALIND-W Corp,10500.0,wa
81477,39241,IPM Operation & Maintenance Kwinana,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,1200.0,L,W205,41125,IPM - Kwinana Co-Gen,1200.0,wa
81478,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,4000.0,L,W205,48180,BEENYUP GWRT-W Corp,4000.0,wa
81479,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,3800.0,L,W205,39388,YOKINE WTP-W Corp,3800.0,wa
81480,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,2000.0,L,W205,39380,WHITFORDS WACWA-W Corp,2000.0,wa
81481,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,1800.0,L,W205,39378,WANNEROO 7 BORE-W Corp,1800.0,wa
81482,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,2500.0,L,W205,39354,MIRRABOOKA (Hypo)-W Corp,2500.0,wa
81483,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,2400.0,L,W205,39345,L5 PUMP STN-W Corp,2400.0,wa
81484,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,1000.0,L,W205,39315,BALCATTA WTP-W Corp,1000.0,wa
81485,47081,Austral Pool Solutions Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,10500.0,L,W205,40881,Austral Pool Solutions - Malaga,10500.0,wa
81487,39251,Pooltime Pool Products,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,7500.0,L,W205,39251,Pooltime Pool Products,7500.0,wa
81489,39227,Australian Gold Reagents Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,1000.0,L,W205,39819,SCP#1 Aust Gold Reagents,1000.0,wa
81490,39227,Australian Gold Reagents Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,1000.0,L,W205,39820,SCP#2 Aust Gold Reagents,1000.0,wa
81491,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,10500.0,L,W205,39336,GWELUP-W Corp,10500.0,wa
81492,10091,CSBP Wesfarmers Limited,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,2000.0,L,W205,39571,CSBP Ammonia Cooling Tower,2000.0,wa
81493,10091,CSBP Wesfarmers Limited,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,3000.0,L,W205,39303,CSBP #1 AN PLANT,3000.0,wa
81495,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,2200.0,L,W205,39378,WANNEROO 7 BORE-W Corp,2200.0,wa
81496,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,1800.0,L,W205,39352,MELVILLE-W Corp,1800.0,wa
81497,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,1500.0,L,W205,39326,CENTRAL PUMP STN (L6)-W Corp,1500.0,wa
81498,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,2000.0,L,W205,39345,L5 PUMP STN-W Corp,2000.0,wa
81501,10091,CSBP Wesfarmers Limited,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,2000.0,L,W205,39571,CSBP Ammonia Cooling Tower,2000.0,wa
81502,10091,CSBP Wesfarmers Limited,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,3000.0,L,W205,39303,CSBP #1 AN PLANT,3000.0,wa
81503,39227,Australian Gold Reagents Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,800.0,L,W205,39820,SCP#2 Aust Gold Reagents,800.0,wa
81504,39227,Australian Gold Reagents Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,800.0,L,W205,39819,SCP#1 Aust Gold Reagents,800.0,wa
81505,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,10500.0,L,W205,39336,GWELUP-W Corp,10500.0,wa
81508,47081,Austral Pool Solutions Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,10500.0,L,W205,40881,Austral Pool Solutions - Malaga,10500.0,wa
81510,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,10500.0,L,W205,39336,GWELUP-W Corp,10500.0,wa
81514,4590,Midland Chemicals,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,4000.0,L,W205,4591,Midland Chemicals,4000.0,wa
81515,39221,A Plus Chemicals & Fragrances,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,10000.0,L,W205,39221,A Plus Chemicals & Fragrances,10000.0,wa
81516,9776,Agent Sales & Services Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,10500.0,L,W205,50623,Agent Sales - Bassendean,10500.0,wa
81519,9776,Agent Sales & Services Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,10500.0,L,W205,50623,Agent Sales - Bassendean,10500.0,wa
81520,10091,CSBP Wesfarmers Limited,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,1000.0,L,W205,41954,CSBP #2 Prill Plant,1000.0,wa
81521,39227,Australian Gold Reagents Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,1000.0,L,W205,39819,SCP#1 Aust Gold Reagents,1000.0,wa
81522,39227,Australian Gold Reagents Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,1000.0,L,W205,39820,SCP#2 Aust Gold Reagents,1000.0,wa
81523,10091,CSBP Wesfarmers Limited,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,2000.0,L,W205,39303,CSBP #1 AN PLANT,2000.0,wa
81524,10091,CSBP Wesfarmers Limited,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,2000.0,L,W205,39571,CSBP Ammonia Cooling Tower,2000.0,wa
81525,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,10500.0,L,W205,39336,GWELUP-W Corp,10500.0,wa
81526,47081,Austral Pool Solutions Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,10500.0,L,W205,40881,Austral Pool Solutions - Malaga,10500.0,wa
81527,9776,Agent Sales & Services Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,10500.0,L,W205,50623,Agent Sales - Bassendean,10500.0,wa
81528,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,1000.0,L,W205,39365,PRESTON BEACH-W Corp,1000.0,wa
81529,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,10000.0,L,W205,28881,BEENYUP-W Corp,10000.0,wa
81530,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,10500.0,L,W205,10082,AUSTRALIND-W Corp,10500.0,wa
81531,47081,Austral Pool Solutions Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,10500.0,L,W205,40881,Austral Pool Solutions - Malaga,10500.0,wa
81532,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,3400.0,L,W205,39388,YOKINE WTP-W Corp,3400.0,wa
81533,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,1700.0,L,W205,39378,WANNEROO 7 BORE-W Corp,1700.0,wa
81534,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,2000.0,L,W205,39354,MIRRABOOKA (Hypo)-W Corp,2000.0,wa
81535,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,2500.0,L,W205,39345,L5 PUMP STN-W Corp,2500.0,wa
81537,39251,Pooltime Pool Products,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,7500.0,L,W205,39251,Pooltime Pool Products,7500.0,wa
81539,39227,Australian Gold Reagents Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,1000.0,L,W205,39819,SCP#1 Aust Gold Reagents,1000.0,wa
81540,39227,Australian Gold Reagents Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,1000.0,L,W205,39820,SCP#2 Aust Gold Reagents,1000.0,wa
81541,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,10500.0,L,W205,39336,GWELUP-W Corp,10500.0,wa
81542,10091,CSBP Wesfarmers Limited,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,2000.0,L,W205,39571,CSBP Ammonia Cooling Tower,2000.0,wa
81543,10091,CSBP Wesfarmers Limited,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,3000.0,L,W205,39303,CSBP #1 AN PLANT,3000.0,wa
81545,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,4000.0,L,W205,10082,AUSTRALIND-W Corp,4000.0,wa
81546,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,2000.0,L,W205,21325,PEMBERTON-W Corp,2000.0,wa
81547,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,4500.0,L,W205,19586,DUNSBOROUGH WWTP -W Corp,4500.0,wa
81551,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,1400.0,L,W205,39378,WANNEROO 7 BORE-W Corp,1400.0,wa
81552,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,2100.0,L,W205,39352,MELVILLE-W Corp,2100.0,wa
81553,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,2500.0,L,W205,39345,L5 PUMP STN-W Corp,2500.0,wa
81554,39241,IPM Operation & Maintenance Kwinana,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,1200.0,L,W205,41125,IPM - Kwinana Co-Gen,1200.0,wa
81557,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,10000.0,L,W205,10075,SUBIACO-W Corp,10000.0,wa
81559,10091,CSBP Wesfarmers Limited,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,2000.0,L,W205,39571,CSBP Ammonia Cooling Tower,2000.0,wa
81560,10091,CSBP Wesfarmers Limited,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,3000.0,L,W205,39303,CSBP #1 AN PLANT,3000.0,wa
81561,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,10500.0,L,W205,39336,GWELUP-W Corp,10500.0,wa
81562,39227,Australian Gold Reagents Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,500.0,L,W205,39819,SCP#1 Aust Gold Reagents,500.0,wa
81563,39227,Australian Gold Reagents Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,500.0,L,W205,39820,SCP#2 Aust Gold Reagents,500.0,wa
81565,39266,City of Swan,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,1500.0,L,W205,39287,Swan Park Aquatic Centre,1500.0,wa
81566,47081,Austral Pool Solutions Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,10500.0,L,W205,40881,Austral Pool Solutions - Malaga,10500.0,wa
81567,47081,Austral Pool Solutions Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,10500.0,L,W205,40881,Austral Pool Solutions - Malaga,10500.0,wa
81569,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,10500.0,L,W205,39336,GWELUP-W Corp,10500.0,wa
81571,47081,Austral Pool Solutions Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,10500.0,L,W205,40881,Austral Pool Solutions - Malaga,10500.0,wa
81572,20518,Alcoa - Huntly,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,3500.0,L,W205,20518,Alcoa - Huntly,3500.0,wa
81575,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,10000.0,L,W205,39384,WOODMAN PT WA21- Do not use,10000.0,wa
81577,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,5500.0,L,W205,48180,BEENYUP GWRT-W Corp,5500.0,wa
81579,39227,Australian Gold Reagents Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,1000.0,L,W205,39819,SCP#1 Aust Gold Reagents,1000.0,wa
81580,39227,Australian Gold Reagents Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,1000.0,L,W205,39820,SCP#2 Aust Gold Reagents,1000.0,wa
81581,10091,CSBP Wesfarmers Limited,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,2000.0,L,W205,39571,CSBP Ammonia Cooling Tower,2000.0,wa
81582,10091,CSBP Wesfarmers Limited,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,2000.0,L,W205,39303,CSBP #1 AN PLANT,2000.0,wa
81583,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,10500.0,L,W205,39336,GWELUP-W Corp,10500.0,wa
81584,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,3000.0,L,W205,39388,YOKINE WTP-W Corp,3000.0,wa
81585,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,2400.0,L,W205,39378,WANNEROO 7 BORE-W Corp,2400.0,wa
81586,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,3500.0,L,W205,39354,MIRRABOOKA (Hypo)-W Corp,3500.0,wa
81587,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,3500.0,L,W205,39345,L5 PUMP STN-W Corp,3500.0,wa
81588,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,1600.0,L,W205,39315,BALCATTA WTP-W Corp,1600.0,wa
81589,39251,Pooltime Pool Products,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,7500.0,L,W205,39251,Pooltime Pool Products,7500.0,wa
81590,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,4000.0,L,W205,39382,WILLIAMS WTP-W Corp,4000.0,wa
81591,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,10500.0,L,W205,10082,AUSTRALIND-W Corp,10500.0,wa
81592,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,10500.0,L,W205,39336,GWELUP-W Corp,10500.0,wa
81595,39221,A Plus Chemicals & Fragrances,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,8000.0,L,W205,39221,A Plus Chemicals & Fragrances,8000.0,wa
81596,39227,Australian Gold Reagents Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,1000.0,L,W205,39819,SCP#1 Aust Gold Reagents,1000.0,wa
81597,39227,Australian Gold Reagents Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,1000.0,L,W205,39820,SCP#2 Aust Gold Reagents,1000.0,wa
81598,10091,CSBP Wesfarmers Limited,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,2000.0,L,W205,39571,CSBP Ammonia Cooling Tower,2000.0,wa
81599,10091,CSBP Wesfarmers Limited,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-10,3000.0,L,W205,39303,CSBP #1 AN PLANT,3000.0,wa
81600,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-09,10500.0,L,W205,39370,LOWER STH DANDALUP-W Corp,10500.0,wa
81601,39266,City of Swan,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-09,1000.0,L,W205,39286,Ballajura Aquatic Centre - Swan SC,1000.0,wa
81602,47081,Austral Pool Solutions Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-09,8500.0,L,W205,40881,Austral Pool Solutions - Malaga,8500.0,wa
81603,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-09,1100.0,L,W205,39357,MT ELIZA-W Corp,1100.0,wa
81604,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-09,1800.0,L,W205,39378,WANNEROO 7 BORE-W Corp,1800.0,wa
81605,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-09,2000.0,L,W205,39352,MELVILLE-W Corp,2000.0,wa
81609,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-09,10500.0,L,W205,39336,GWELUP-W Corp,10500.0,wa
81610,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-09,10000.0,L,W205,10075,SUBIACO-W Corp,10000.0,wa
81611,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-09,10000.0,L,W205,10075,SUBIACO-W Corp,10000.0,wa
81613,10091,CSBP Wesfarmers Limited,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-09,2000.0,L,W205,39571,CSBP Ammonia Cooling Tower,2000.0,wa
81614,10091,CSBP Wesfarmers Limited,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-09,3000.0,L,W205,39303,CSBP #1 AN PLANT,3000.0,wa
81615,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-09,10500.0,L,W205,39336,GWELUP-W Corp,10500.0,wa
81616,39227,Australian Gold Reagents Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-09,500.0,L,W205,39820,SCP#2 Aust Gold Reagents,500.0,wa
81617,39227,Australian Gold Reagents Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-09,800.0,L,W205,39819,SCP#1 Aust Gold Reagents,800.0,wa
81618,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-09,2600.0,L,W205,39345,L5 PUMP STN-W Corp,2600.0,wa
81619,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-09,4200.0,L,W205,39315,BALCATTA WTP-W Corp,4200.0,wa
81621,47081,Austral Pool Solutions Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-09,10500.0,L,W205,40881,Austral Pool Solutions - Malaga,10500.0,wa
81622,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-09,10500.0,L,W205,39336,GWELUP-W Corp,10500.0,wa
81623,10071,Water Corporation WA - Main account,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2012-09,10500.0,L,W205,39336,GWELUP-W Corp,10500.0,wa
