,Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,state of Sold-To Party
146795,53723,The Club Group Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-02-04,1500.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
146798,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-02-04,2000.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
147106,6086,Big Splash,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-01-28,800.0,L,N106,6086,Big Splash,act
147108,53723,The Club Group Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-01-28,3000.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
147109,48816,Kings Macgregor (Operations) Pty Lt,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-01-28,1000.0,L,N106,48816,Kings Macgregor (Operations) Pty Lt,act
147110,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-01-28,2000.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
147363,5795,Australian Institute of Sport,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-01-21,3400.0,L,N106,5795,Australian Institute of Sport,act
147364,5795,Australian Institute of Sport,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-01-21,4100.0,L,N106,5795,Australian Institute of Sport,act
147366,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-01-21,2000.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
147691,53723,The Club Group Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-01-14,1000.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
147692,6086,Big Splash,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-01-14,600.0,L,N106,6086,Big Splash,act
147695,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-01-14,2000.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
147985,53723,The Club Group Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-01-07,1000.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
147986,6086,Big Splash,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-01-07,600.0,L,N106,6086,Big Splash,act
147996,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-01-07,2000.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
148269,53723,The Club Group Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-12-31,2500.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
148270,6086,Big Splash,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-12-31,500.0,L,N106,6086,Big Splash,act
148283,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-12-31,3000.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
148469,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-12-24,2000.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
148790,53723,The Club Group Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-12-17,1500.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
148793,6086,Big Splash,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-12-17,850.0,L,N106,6086,Big Splash,act
148795,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-12-17,2000.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
149101,53723,The Club Group Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-12-10,2500.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
149104,6086,Big Splash,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-12-10,800.0,L,N106,6086,Big Splash,act
