,Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,state of Sold-To Party
56,9466,Pool Resources (SA) Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2012-07-10,4.0,DRM,V127,48791,Borders Express,sa
57,53009,Mak Industrial Water,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2012-05-24,1.0,DRM,S303,53097,MAK INDUSTRIAL WATER SOLUTIONS PTY,sa
58,53009,Mak Industrial Water,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2012-04-19,1.0,DRM,S303,53097,MAK INDUSTRIAL WATER SOLUTIONS PTY,sa
59,53009,Mak Industrial Water,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2012-04-12,0.0,DRM,S303,53097,MAK INDUSTRIAL WATER SOLUTIONS PTY,sa
60,9466,Pool Resources (SA) Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2012-03-15,4.0,DRM,V127,48791,Borders Express,sa
62,9466,Pool Resources (SA) Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2012-02-03,4.0,DRM,V127,48791,Borders Express,sa
64,9466,Pool Resources (SA) Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2011-11-11,4.0,DRM,V127,48791,Borders Express,sa
65,9466,Pool Resources (SA) Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2011-11-03,4.0,DRM,V127,9466,Pool Resources (SA) Pty Ltd,sa
66,9466,Pool Resources (SA) Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2011-10-21,4.0,DRM,V127,48791,Borders Express,sa
67,9466,Pool Resources (SA) Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2011-08-31,4.0,DRM,V127,48791,Borders Express,sa
68,9466,Pool Resources (SA) Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2011-05-11,4.0,DRM,V127,48791,Borders Express,sa
71,9466,Pool Resources (SA) Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2011-02-15,8.0,DRM,V127,48791,Borders Express,sa
73,9466,Pool Resources (SA) Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2010-11-17,4.0,DRM,V127,48791,Borders Express,sa
75,3706,Elders Ltd,ALUSUL08-200,ALUMINIUM SULFATE LIQUID200L,2010-08-13,4.0,DRM,V127,48685,Border Express Adelaide,sa
76,9466,Pool Resources (SA) Pty Ltd,ALUSUL08-200,ALUMINIUM SULFATE LIQUID200L,2010-06-09,4.0,DRM,V127,48791,Borders Express,sa
77,9466,Pool Resources (SA) Pty Ltd,ALUSUL08-200,ALUMINIUM SULFATE LIQUID200L,2010-03-22,8.0,DRM,V127,48791,Borders Express,sa
219,9477,SA Water Corporation,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2019-01-25,2.0,BOX,S106,12538,Middle River,sa
451,9373,Adchem (Australia) Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2016-07-11,1.0,BOX,V305,9374,Springbetts  C\ Adchem,sa
